candidate_policy,reference_policy,candidate_budget,reference_budget,delta_policy_value,delta_policy_value_ci_low,delta_policy_value_ci_high,policy_value_bootstrap_fraction_positive,policy_value_conclusion,delta_incremental_per_1000_targeted,delta_incremental_per_1000_ci_low,delta_incremental_per_1000_ci_high,incremental_bootstrap_fraction_positive,incremental_conclusion,delta_hajek_policy_value,delta_hajek_policy_value_ci_low,delta_hajek_policy_value_ci_high,hajek_policy_value_conclusion,delta_hajek_incremental_per_1000_targeted,delta_hajek_incremental_per_1000_ci_low,delta_hajek_incremental_per_1000_ci_high,hajek_incremental_conclusion,valid_policy_value_bootstrap_reps,valid_incremental_bootstrap_reps,valid_hajek_policy_value_bootstrap_reps,valid_hajek_incremental_bootstrap_reps
s_learner,response,1.0,1.0,-5.637851296924623e-18,0.0,0.0,0.0,inconclusive,-5.995204332975845e-15,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,1000,1000,1000,1000
s_learner,expected_random,0.01,0.01,0.0004476357218587896,0.00013467838494428045,0.0007476641393478261,0.999,beats,44.763572185878985,13.358355653077274,74.68507281220387,0.999,beats,0.00044490136754049797,0.00013299289889281732,0.000742927806964292,beats,30.0381643049882,-1.6633914469806943,59.96813297633115,inconclusive,1000,1000,1000,1000
s_learner,expected_random,0.02,0.02,0.0005676810545563477,0.0002455693892815713,0.0008652286461182704,1.0,beats,28.384052727817384,12.246192678112337,43.40640963866142,1.0,beats,0.0005607631599732006,0.00024008897173228837,0.0008594274697039219,beats,18.33923347497401,1.8890034496866983,34.403699629658945,beats,1000,1000,1000,1000
s_learner,expected_random,0.1,0.1,0.0006112506705214264,0.00029161409611927914,0.0009158204196222153,1.0,beats,6.112506705214264,2.9395547354377487,9.204711353560024,1.0,beats,0.000600530641377574,0.00028188883720162584,0.0009043926069063039,beats,5.488092749798062,2.273030020436212,8.638994009605819,beats,1000,1000,1000,1000
s_learner,expected_random,0.11,0.11,0.0006008851502229888,0.00028393018300771163,0.0009026088276379846,1.0,beats,5.462592274754444,2.602728030928836,8.251364328728785,1.0,beats,0.0005896598025260662,0.0002744219990821757,0.0008910638684228077,beats,4.922837136829955,2.0589854232226674,7.742224960783519,beats,1000,1000,1000,1000
s_learner,expected_random,0.12,0.12,0.0005905196299245516,0.0002762897034835782,0.0008893972356537543,1.0,beats,4.920996916037927,2.3137912282988617,7.456843318895358,1.0,beats,0.0005798929584215837,0.0002685139130629578,0.0008779004310211025,beats,4.493241289696231,1.8691764975077627,7.040398111022406,beats,1000,1000,1000,1000
s_learner,expected_random,0.2,0.2,0.0005125021039700415,0.00020897652228912635,0.0007869926515667189,1.0,beats,2.562510519850207,1.043939528387309,3.9195716230133755,1.0,beats,0.0005094430758159248,0.00020832980726378679,0.000782038202631467,beats,2.5181970695508733,1.057037111215859,3.894071442038221,beats,1000,1000,1000,1000
s_learner,expected_random,0.4,0.4,0.0003189220455106856,8.727882252160507e-05,0.0005381979929673712,0.997,beats,0.7973051137767135,0.2174539305921562,1.3446375163351423,0.997,beats,0.0003215346051291864,9.405512640267105e-05,0.0005347583806125457,beats,0.8068672029658213,0.23352705858473763,1.341367029841208,beats,1000,1000,1000,1000
s_learner,expected_random,0.44,0.44,0.0002921661494442759,7.552097315654735e-05,0.0004991010433321139,0.995,beats,0.6640139760097179,0.16759981771809138,1.1368360164339242,0.995,beats,0.0002937521833584547,8.147268272725272e-05,0.0005006309554284611,beats,0.6687967301063888,0.18518741829412402,1.143044321043132,beats,1000,1000,1000,1000
s_learner,expected_random,0.6,0.6,0.00012240075002586124,-6.813534172282317e-05,0.0002965887559379671,0.903,inconclusive,0.2040012500431021,-0.11331697575954644,0.4945849011111786,0.902,inconclusive,0.0001272109239828568,-6.15426179328222e-05,0.0003008575980415718,inconclusive,0.21196246472251423,-0.10098174992768981,0.49911825198917,inconclusive,1000,1000,1000,1000
