candidate_policy,reference_policy,candidate_budget,reference_budget,delta_policy_value,delta_policy_value_ci_low,delta_policy_value_ci_high,policy_value_bootstrap_fraction_positive,policy_value_conclusion,delta_incremental_per_1000_targeted,delta_incremental_per_1000_ci_low,delta_incremental_per_1000_ci_high,incremental_bootstrap_fraction_positive,incremental_conclusion,delta_hajek_policy_value,delta_hajek_policy_value_ci_low,delta_hajek_policy_value_ci_high,hajek_policy_value_conclusion,delta_hajek_incremental_per_1000_targeted,delta_hajek_incremental_per_1000_ci_low,delta_hajek_incremental_per_1000_ci_high,hajek_incremental_conclusion,valid_policy_value_bootstrap_reps,valid_incremental_bootstrap_reps,valid_hajek_policy_value_bootstrap_reps,valid_hajek_incremental_bootstrap_reps
s_learner,treat_all,0.44,1.0,-0.00032048462018344085,-0.0005326173677614912,-0.00010703804949361594,0.001,worse,0.6533170941472319,0.15483501594120497,1.1255847275374198,0.996,beats,-0.00031462174436999637,-0.0005259500199547353,-0.00010483174920726326,worse,0.670544426681722,0.17766409251388302,1.1405516933540334,beats,1000,1000,1000,1000
s_learner,treat_all,0.6,1.0,-0.0003067057471837801,-0.0005001615199097837,-0.00010061323098526825,0.004,worse,0.21256678041777488,-0.0948129323662033,0.5065906201454394,0.911,inconclusive,-0.0002922306633510118,-0.0004852081287437281,-8.539737574995091e-05,worse,0.2357083537332738,-0.06601364594550439,0.5238864713781737,inconclusive,1000,1000,1000,1000
s_learner,treat_all,0.8,1.0,-0.00022332840018657145,-0.00041369197077101055,-2.8112823201329583e-05,0.016,worse,-0.007756865586685979,-0.21690074456235214,0.21198733637959646,0.475,inconclusive,-0.0002088939667995479,-0.00039759277277598827,-1.147637173635598e-05,worse,0.005094629719433863,-0.20143728702862934,0.2248594701586463,inconclusive,1000,1000,1000,1000
s_learner,treat_all,1.0,1.0,8.673617379884035e-18,-8.673617379884035e-19,1.3010426069826053e-18,0.379,inconclusive,9.103828801926284e-15,-9.992007221626409e-16,1.1102230246251565e-15,0.437,inconclusive,-4.336808689942018e-19,-4.336808689942018e-19,4.336808689942018e-19,inconclusive,4.440892098500626e-16,0.0,0.0,inconclusive,1000,1000,1000,1000
t_learner,response,0.01,0.01,-0.00018176554962930948,-0.00033632705603617877,4.644505890071549e-07,0.027,inconclusive,-18.176554962930947,-33.445607690529854,-0.027543980098619424,0.024,worse,-0.0001824221198551113,-0.00033529602780703506,-7.557504409831156e-07,worse,-18.965389963282718,-36.78401622768679,0.9719633992531793,inconclusive,1000,1000,1000,1000
t_learner,response,0.02,0.02,-0.00017781795584091622,-0.00034605357487159854,3.3524971602588456e-06,0.027,inconclusive,-8.890897792045802,-17.25343916306222,0.2792237603107867,0.029,inconclusive,-0.00017770077599656457,-0.00034588632860745966,2.288086197163493e-06,inconclusive,-7.825009362062223,-17.049916537428043,1.9149793188007436,inconclusive,1000,1000,1000,1000
t_learner,response,0.1,0.1,-0.00022883503301231612,-0.00038957555338535335,-5.6108959718364674e-05,0.006,worse,-2.288350330123161,-3.892453512275148,-0.5559157827820295,0.006,worse,-0.00022190118479261702,-0.0003823277126990059,-4.7898143784605195e-05,worse,-1.657628503205097,-3.389561446113595,0.23557067741161894,inconclusive,1000,1000,1000,1000
t_learner,response,0.11,0.11,-0.00019554442262897454,-0.00035792522732966766,-5.7284035820794785e-06,0.023,worse,-1.7776765693543162,-3.25884061598793,-0.05330963862999221,0.023,worse,-0.00018712424925983054,-0.0003475604833503735,2.9792121255583824e-06,inconclusive,-1.1150296792808465,-2.7101583825616165,0.7849210068213727,inconclusive,1000,1000,1000,1000
t_learner,response,0.12,0.12,-0.00023766056114662894,-0.000401316708794814,-5.55443746600005e-05,0.005,worse,-1.9805046762219067,-3.3429293435862024,-0.4770903706193277,0.005,worse,-0.00023020090909425198,-0.0003926768609068596,-5.128477553380289e-05,worse,-1.5173746443305038,-3.0099685247221233,0.11326699483964163,inconclusive,1000,1000,1000,1000
t_learner,response,0.2,0.2,-0.00019554442262897454,-0.0003515786485508876,-3.45119324394091e-05,0.013,worse,-0.9777221131448739,-1.7523038399602908,-0.16327005890690097,0.013,worse,-0.00019034280957165584,-0.0003436414731620456,-2.9637694063102707e-05,worse,-0.8368486365981989,-1.6387085947483633,0.019025109682985444,inconclusive,1000,1000,1000,1000
t_learner,response,0.4,0.4,-0.00016620140603402578,-0.00032511645269243055,6.244415445601755e-06,0.032,inconclusive,-0.415503515085065,-0.8187310351311629,0.013283536101642098,0.033,inconclusive,-0.00016558320813212651,-0.0003278186131303606,4.804195436822236e-06,inconclusive,-0.3983025849948514,-0.819246454424127,0.034723869194972515,inconclusive,1000,1000,1000,1000
t_learner,response,0.44,0.44,-0.00015838162897666846,-0.00032280153709815854,1.7572140585114653e-05,0.036,inconclusive,-0.3599582476742458,-0.7309402915267676,0.040735960677826304,0.036,inconclusive,-0.0001517624291131059,-0.0003130758534936954,2.2278446870938395e-05,inconclusive,-0.32447458053204725,-0.7054762011650487,0.07543587260051643,inconclusive,1000,1000,1000,1000
t_learner,response,0.6,0.6,-0.00019066648828305454,-0.0003468874561075691,-1.556151383466238e-05,0.016,worse,-0.31777748047175747,-0.5810102175152272,-0.026186397515426008,0.016,worse,-0.00017736166853115623,-0.00033502979355559584,-9.042398262696184e-06,worse,-0.29020391914462484,-0.5572699936474754,-0.008497020362141219,worse,1000,1000,1000,1000
t_learner,response,0.8,0.8,-0.00016813749766850846,-0.00032451729877026864,-8.5976147672235e-07,0.025,worse,-0.2101718720856356,-0.40647413018109596,-0.0011708411188179313,0.025,worse,-0.0001530089434469916,-0.00030966941925092737,1.2020212371530465e-05,inconclusive,-0.1935064606777701,-0.38861775381777386,0.013456021463810464,inconclusive,1000,1000,1000,1000
t_learner,response,1.0,1.0,1.734723475976807e-18,0.0,0.0,0.0,inconclusive,1.5543122344752192e-15,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,1000,1000,1000,1000
