policy,score_decile,rows,treated,control,treatment_share,treated_outcome_rate,control_outcome_rate,ht_uplift_per_1000,ht_uplift_ci_low,ht_uplift_ci_high,hajek_uplift_per_1000,hajek_uplift_ci_low,hajek_uplift_ci_high,valid_ht_bootstrap_reps,valid_hajek_bootstrap_reps
s_learner,5,40000,34028,5972,0.8507,0.00020571294228282592,0.00016744809109176155,0.03923936729229591,-0.4050964471269307,0.32300509112550646,0.03826485119106437,-0.4105710566189335,0.32278917741574004,1000,1000
s_learner,6,40000,33928,6072,0.8482,0.0002357934449422306,0.00016469038208168644,0.06865173754697762,-0.32208808930686444,0.35292459146738364,0.07110306286054417,-0.31944139074088557,0.3537441239772123,1000,1000
s_learner,7,40000,33864,6136,0.8466,0.000383888495157099,0.00016297262059973924,0.2157135888203862,-0.19242750776791595,0.5554402667409819,0.22091587455735975,-0.17900115562186944,0.5569280237631177,1000,1000
s_learner,8,40000,33879,6121,0.846975,0.0006493698161102749,0.00032674399607907203,0.3137776966220456,-0.23916165794663222,0.7951602379366263,0.3226258200312028,-0.21473566475423522,0.7962040338147209,1000,1000
s_learner,9,40000,34010,5990,0.85025,0.0007938841517200824,0.0005008347245409015,0.2941923234049781,-0.42060023284438314,0.8838373993404788,0.2930494271791809,-0.4334891572010046,0.8842363495966586,1000,1000
s_learner,10,40000,34338,5662,0.85845,0.005212883685712622,0.003355704697986577,2.098517010268982,0.4883216492323499,3.6663267696617576,1.8571789877260447,0.19592990679978597,3.5030931468286495,1000,1000
t_learner,1,40000,34376,5624,0.8594,0.020973935303700255,0.013691322901849217,8.374482667858857,5.111669497830777,11.671097988099596,7.282612401851037,3.7660595020269065,10.752829771288528,1000,1000
t_learner,2,40000,33995,6005,0.849875,0.001764965436093543,0.0011656952539550376,0.5982116438475703,-0.3474274227938177,1.5146183359433762,0.5992701821385055,-0.3516608757828932,1.521134515042016,1000,1000
t_learner,3,40000,33921,6079,0.848025,0.0005601249963149671,0.0003290014805066623,0.22554058585800044,-0.4251261492319076,0.6906610271332916,0.23112351580830484,-0.403877973185705,0.690963140160098,1000,1000
t_learner,4,40000,33918,6082,0.84795,0.0002948287045226723,0.0001644195988161789,0.12747647805634107,-0.29480622056002886,0.4409354673042321,0.13040910570649342,-0.29037733498400037,0.44186851559388296,1000,1000
t_learner,5,40000,34014,5986,0.85035,0.0004703945434232963,0.0001670564650851988,0.30395069958443127,-0.1457929650787354,0.6497574020383143,0.3033380783380975,-0.14668368378415692,0.6497957170122032,1000,1000
t_learner,6,40000,33860,6140,0.8465,0.00011813349084465446,0.0,0.11764948101872685,0.029051695882071116,0.26400037575193525,0.11813349084465447,0.029184663234778464,0.26511642672482433,1000,1000
t_learner,7,40000,33964,6036,0.8491,0.00020610057708161583,0.0,0.205886591782772,0.05892060723122871,0.35445077864170943,0.20610057708161583,0.05896895731164727,0.3561690130391591,1000,1000
t_learner,8,40000,33941,6059,0.848525,2.946289148817065e-05,0.0,0.029412370254681713,0.0,0.08914163401477083,0.029462891488170648,0.0,0.08938419299175972,1000,1000
t_learner,9,40000,33925,6075,0.848125,2.9476787030213706e-05,0.0,0.029412370254681713,0.0,0.08897297918624167,0.029476787030213707,0.0,0.0892634660405611,1000,1000
t_learner,10,40000,34079,5921,0.851975,0.004342850435752223,0.004053369363283229,0.3534974099214679,-1.520045949800783,2.040065537466261,0.2894810724689938,-1.6372205308175867,2.0124734385359235,1000,1000
